6/1/20_DISCRETE,5/31/20_DISCRETE,UID,Key,6/2/20,6/3/20
3.0,3.0,84012097.0,"Osceola, Florida, US",20.0,20.0
62.0,62.0,84012099.0,"Palm Beach, Florida, US",351.0,359.0
2.0,2.0,84012101.0,"Pasco, Florida, US",15.0,15.0
15.0,15.0,84012103.0,"Pinellas, Florida, US",90.0,90.0
10.0,10.0,84012105.0,"Polk, Florida, US",58.0,60.0
1.0,1.0,84012107.0,"Putnam, Florida, US",6.0,6.0
1.0,1.0,84012109.0,"St. Johns, Florida, US",6.0,6.0
5.0,5.0,84012111.0,"St. Lucie, Florida, US",31.0,31.0
1.0,1.0,84012113.0,"Santa Rosa, Florida, US",9.0,9.0
14.0,14.0,84012115.0,"Sarasota, Florida, US",80.0,80.0
2.0,2.0,84012117.0,"Seminole, Florida, US",12.0,12.0
3.0,3.0,84012119.0,"Sumter, Florida, US",17.0,17.0
3.0,3.0,84012121.0,"Suwannee, Florida, US",18.0,18.0
0.0,0.0,84012123.0,"Taylor, Florida, US",0.0,0.0
0.0,0.0,84012125.0,"Union, Florida, US",1.0,1.0
7.0,7.0,84012127.0,"Volusia, Florida, US",39.0,41.0
0.0,0.0,84012129.0,"Wakulla, Florida, US",1.0,1.0
1.0,1.0,84012131.0,"Walton, Florida, US",9.0,9.0
0.0,0.0,84012133.0,"Washington, Florida, US",4.0,4.0
2.0,2.0,84013001.0,"Appling, Georgia, US",13.0,13.0
0.0,0.0,84013003.0,"Atkinson, Georgia, US",2.0,2.0
0.0,0.0,84013005.0,"Bacon, Georgia, US",3.0,3.0
0.0,0.0,84013007.0,"Baker, Georgia, US",2.0,2.0
4.0,4.0,84013009.0,"Baldwin, Georgia, US",26.0,27.0
0.0,0.0,84013011.0,"Banks, Georgia, US",1.0,1.0
