UID,City,State,Country,Key,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20
84008077,Mesa,Colorado,US,"Mesa, Colorado, US",0,0,0,0,0,0
84008079,Mineral,Colorado,US,"Mineral, Colorado, US",0,0,0,0,0,0
84008081,Moffat,Colorado,US,"Moffat, Colorado, US",0,0,0,0,0,0
84008083,Montezuma,Colorado,US,"Montezuma, Colorado, US",3,3,3,3,3,3
84008085,Montrose,Colorado,US,"Montrose, Colorado, US",12,12,12,12,12,12
84008087,Morgan,Colorado,US,"Morgan, Colorado, US",43,43,43,45,46,46
84008089,Otero,Colorado,US,"Otero, Colorado, US",1,1,1,1,1,1
84008091,Ouray,Colorado,US,"Ouray, Colorado, US",1,1,1,1,1,1
84008093,Park,Colorado,US,"Park, Colorado, US",0,0,0,0,0,0
84008095,Phillips,Colorado,US,"Phillips, Colorado, US",0,0,0,0,0,0
84008097,Pitkin,Colorado,US,"Pitkin, Colorado, US",2,2,2,2,2,2
84008099,Prowers,Colorado,US,"Prowers, Colorado, US",0,0,0,0,0,0
84008101,Pueblo,Colorado,US,"Pueblo, Colorado, US",17,18,18,18,18,18
84008103,Rio Blanco,Colorado,US,"Rio Blanco, Colorado, US",0,0,0,0,0,0
84008105,Rio Grande,Colorado,US,"Rio Grande, Colorado, US",0,0,0,0,0,0
84008107,Routt,Colorado,US,"Routt, Colorado, US",6,6,6,6,6,6
84008109,Saguache,Colorado,US,"Saguache, Colorado, US",1,1,1,1,1,1
84008111,San Juan,Colorado,US,"San Juan, Colorado, US",0,0,0,0,0,0
84008113,San Miguel,Colorado,US,"San Miguel, Colorado, US",0,0,0,0,0,0
84008115,Sedgwick,Colorado,US,"Sedgwick, Colorado, US",0,0,0,0,0,0
84008117,Summit,Colorado,US,"Summit, Colorado, US",2,2,2,2,2,2
84008119,Teller,Colorado,US,"Teller, Colorado, US",2,2,2,2,2,2
84008121,Washington,Colorado,US,"Washington, Colorado, US",0,0,0,0,0,0
84008123,Weld,Colorado,US,"Weld, Colorado, US",131,132,132,133,134,134
84008125,Yuma,Colorado,US,"Yuma, Colorado, US",0,0,0,0,0,0
84009001,Fairfield,Connecticut,US,"Fairfield, Connecticut, US",1277,1288,1287,1289,1293,1304
84009003,Hartford,Connecticut,US,"Hartford, Connecticut, US",1250,1259,1253,1259,1266,1277
84009005,Litchfield,Connecticut,US,"Litchfield, Connecticut, US",133,136,133,133,134,134
84009007,Middlesex,Connecticut,US,"Middlesex, Connecticut, US",152,153,150,152,154,155
84009009,New Haven,Connecticut,US,"New Haven, Connecticut, US",972,974,985,990,992,999
84009011,New London,Connecticut,US,"New London, Connecticut, US",89,89,90,92,94,95
84009013,Tolland,Connecticut,US,"Tolland, Connecticut, US",57,58,60,60,60,60
84009015,Windham,Connecticut,US,"Windham, Connecticut, US",14,13,14,14,14,14
84010001,Kent,Delaware,US,"Kent, Delaware, US",63,63,66,66,69,71
84010003,New Castle,Delaware,US,"New Castle, Delaware, US",170,172,172,173,173,173
84010005,Sussex,Delaware,US,"Sussex, Delaware, US",133,133,135,136,143,144
84011001,District of Columbia,District of Columbia,US,"District of Columbia,District of Columbia,US",466,468,470,473,475,479
84012001,Alachua,Florida,US,"Alachua, Florida, US",7,7,7,8,8,8
84012003,Baker,Florida,US,"Baker, Florida, US",3,3,3,4,4,4
84012005,Bay,Florida,US,"Bay, Florida, US",3,3,3,3,4,4
84012007,Bradford,Florida,US,"Bradford, Florida, US",2,2,2,2,2,2
84012009,Brevard,Florida,US,"Brevard, Florida, US",12,13,13,13,13,13
84012011,Broward,Florida,US,"Broward, Florida, US",313,314,317,318,325,327
84012013,Calhoun,Florida,US,"Calhoun, Florida, US",4,4,4,4,4,4
84012015,Charlotte,Florida,US,"Charlotte, Florida, US",63,63,65,68,68,72
84012017,Citrus,Florida,US,"Citrus, Florida, US",12,12,12,12,12,12
84012019,Clay,Florida,US,"Clay, Florida, US",28,28,30,33,32,32
84012021,Collier,Florida,US,"Collier, Florida, US",49,49,49,49,53,55
84012023,Columbia,Florida,US,"Columbia, Florida, US",2,2,2,2,2,2
84012027,DeSoto,Florida,US,"DeSoto,Florida,US",7,7,7,7,7,7
